day,sentiment,size
2020-07-12,-0.15645111111111107,45
2020-07-13,-0.02706094276094276,1188
2020-07-14,-0.012675468043899294,1549
2020-07-15,0.052086598984771575,985
2020-07-16,-0.001346081081081085,740
